Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Cũ Toyota Camry LE 2007,456 triệu,Cũ,"130,000 km",Số tự động,Xăng,Cá nhân,Sedan,2007,FWD: Cầu trước,Vàng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341672/gallery/936x624-623ae7a41c082.jpg', 'https://choxe.net/uploads/auto/202203/341672/gallery/936x624-623ae7a4124d7.jpg', 'https://choxe.net/uploads/auto/202203/341672/gallery/936x624-623ae7a408f95.jpg', 'https://choxe.net/uploads/auto/202203/341672/gallery/936x624-623ae7a3f418d.jpg', 'https://choxe.net/uploads/auto/202203/341672/gallery/936x624-623ae7a3ee073.jpg']"
Xe Cũ KIA Sorento Deluxe 2020,700 triệu,Cũ,"37,000 km",Số tự động,Xăng,Cá nhân,SUV,2020,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341667/gallery/936x624-623ac73ac9c36.jpg', 'https://choxe.net/uploads/auto/202203/341667/gallery/936x624-623ac73ad14f6.jpg', 'https://choxe.net/uploads/auto/202203/341667/gallery/936x624-623ac73ad83f2.jpg', 'https://choxe.net/uploads/auto/202203/341667/gallery/936x624-623ac73acdc54.jpg', 'https://choxe.net/uploads/auto/202203/341667/gallery/936x624-623ac73ad5233.jpg']"
Xe Cũ BMW 3 325I 2003,195 triệu,Cũ,"75,000 km",Số tự động,Xăng,Cá nhân,Sedan,2003,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb45359.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb4861f.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb4b947.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb4d95a.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb526be.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb5500f.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb57816.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb5a1db.jpg', 'https://choxe.net/uploads/auto/202203/341661/gallery/936x624-623942cb5ca9c.jpg']"
Xe Cũ Mitsubishi Xpander MT 2020,500 triệu,Cũ,"6,999 km",Số sàn,Xăng,Cá nhân,Van/Minivan,2020,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341656/gallery/936x624-6238588775d9c.jpg', 'https://choxe.net/uploads/auto/202203/341656/gallery/936x624-62385887725a7.jpg', 'https://choxe.net/uploads/auto/202203/341656/gallery/936x624-623858876e9f1.jpg', 'https://choxe.net/uploads/auto/202203/341656/gallery/936x624-6238588771083.jpg', 'https://choxe.net/uploads/auto/202203/341656/gallery/936x624-623858876d886.jpg', 'https://choxe.net/uploads/auto/202203/341656/gallery/936x624-6238588774096.jpg']"
Xe Cũ Suzuki Swift Co Ban 2015,350 triệu,Cũ,"80,000 km",Số tự động,Xăng,Cá nhân,Sedan,2015,FWD: Cầu trước,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b03627be.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b036a2ca.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b0352601.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b0357f16.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b036d09b.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b0366835.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b035e79a.jpg', 'https://choxe.net/uploads/auto/202203/341650/gallery/936x624-62381b035ac25.jpg']"
Xe Mới Mercedes-Benz GLC 2020 2021,2.499 tỷ ,Mới,393 km,Số tự động,Xăng,Cá nhân,SUV,2021,4WD: 4 bánh,Kem,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341649/gallery/936x624-6238101b78002.jpg', 'https://choxe.net/uploads/auto/202203/341649/gallery/936x624-6238101b75cc5.jpg', 'https://choxe.net/uploads/auto/202203/341649/gallery/936x624-6238101b772bb.jpg', 'https://choxe.net/uploads/auto/202203/341649/gallery/936x624-6238101b78ce6.jpg']"
Xe Mới Mitsubishi Xpander AT 2021,670 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,MPV,2021,FWD: Cầu trước,Cam,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341646/gallery/936x624-6237df1a5d389.jpg', 'https://choxe.net/uploads/auto/202203/341646/gallery/936x624-6237def24c818.jpg', 'https://choxe.net/uploads/auto/202203/341646/gallery/936x624-6237def24969c.jpg', 'https://choxe.net/uploads/auto/202203/341646/gallery/936x624-6237def247504.jpg', 'https://choxe.net/uploads/auto/202203/341646/gallery/936x624-6237def24b073.jpg']"
Xe Mới Hyundai Santa FE Xăng Cao Cấp 2022,1.24 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2022,4WD: 4 bánh,Đen,Trong nước,"['https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235920c7b0a3.jpg', 'https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235934ebd163.jpg', 'https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235934ebe8ea.jpg', 'https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235934ec1fcf.jpg', 'https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235934ebfc2b.jpg', 'https://choxe.net/uploads/auto/202203/341638/gallery/936x624-6235934ec0ed0.jpg']"
Xe Mới TMT Xe Tải 2020 2020,191 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Xe tải,2020,RWD: Cầu sau,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202203/341632/gallery/936x624-6234c2c62461e.jpg', 'https://choxe.net/uploads/auto/202203/341632/gallery/936x624-6234c2c6273ef.jpg', 'https://choxe.net/uploads/auto/202203/341632/gallery/936x624-6234c383c6d50.jpg']"
Xe Cũ Mazda CX-5 2.0 2017,735 triệu,Cũ,"71,000 km",Số tự động,Xăng,Cá nhân,SUV,2017,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202203/341631/gallery/936x624-6234ae79cc7b5.jpg', 'https://choxe.net/uploads/auto/202203/341631/gallery/936x624-6234ae79ca19d.jpg', 'https://choxe.net/uploads/auto/202203/341631/gallery/936x624-6234ae79d25bc.jpg', 'https://choxe.net/uploads/auto/202203/341631/gallery/936x624-6234ae79cb74b.jpg', 'https://choxe.net/uploads/auto/202203/341631/gallery/936x624-6234ae79ce40e.jpg']"
Xe Cũ KIA Cerato  Bản Full 1.6LAT 2017,485 triệu,Cũ,"68,000 km",Số tự động,Xăng,Cá nhân,Sedan,2017,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341629/gallery/936x624-62340e04d621b.jpg', 'https://choxe.net/uploads/auto/202203/341629/gallery/936x624-62340e04e6395.jpg', 'https://choxe.net/uploads/auto/202203/341629/gallery/936x624-62340e04cfd1c.jpg', 'https://choxe.net/uploads/auto/202203/341629/gallery/936x624-62340e04dba0e.jpg', 'https://choxe.net/uploads/auto/202203/341629/gallery/936x624-62340e04e1011.jpg']"
Xe Mới Hyundai H150 Thùng Mui Bạt 2022,150 triệu,Mới,100 km,Số sàn,Dầu,Cá nhân,Xe tải,2022,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202203/341628/gallery/936x624-6234039778a1b.jpg', 'https://choxe.net/uploads/auto/202203/341628/gallery/936x624-623403977b483.jpg', 'https://choxe.net/uploads/auto/202203/341628/gallery/936x624-623403977d470.jpg', 'https://choxe.net/uploads/auto/202203/341628/gallery/936x624-623403977f4b5.jpg', 'https://choxe.net/uploads/auto/202203/341628/gallery/936x624-62340397811c5.jpg']"
Xe Mới TMT Xe Tải K05s 2021,235 triệu,Mới,3 km,Số sàn,Xăng,Cá nhân,Xe tải,2021,RWD: Cầu sau,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341627/gallery/936x624-6233f41501cdc.jpg', 'https://choxe.net/uploads/auto/202203/341627/gallery/936x624-6233f415099a4.jpg', 'https://choxe.net/uploads/auto/202203/341627/gallery/936x624-6233f4150d056.jpg', 'https://choxe.net/uploads/auto/202203/341627/gallery/936x624-6233f41506500.jpg']"
Xe Cũ Toyota Corolla Đặc Biệt 2004,235 triệu,Cũ,"200,000 km",Số sàn,Xăng,Cá nhân,Sedan,2004,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e09931d94.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e0993d324.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e09949004.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e09970e71.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e0995b3dc.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e099657f2.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e0995ea5c.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e09961ff8.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e099691ad.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e0996cd5d.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e09953c24.jpg', 'https://choxe.net/uploads/auto/202203/341626/gallery/936x624-6233e099575c4.jpg']"
Xe Mới MG MG5 Luxury 2022,579 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2022,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341625/gallery/936x624-62334a09bcc33.jpg', 'https://choxe.net/uploads/auto/202203/341625/gallery/936x624-62334a09bf19e.jpg', 'https://choxe.net/uploads/auto/202203/341625/gallery/936x624-62334a09ba78e.jpg']"
Xe Cũ Ford Ranger WT 3.2L_2015 2015,710 triệu,Cũ,"83,000 km",Số tự động,Dầu,Cá nhân,Xe Bán tải,2015,4WD: 4 bánh,Bạc,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fc5bf7.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fc7fe8.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fcacbe.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fd4a46.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fd7b1f.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fc36d6.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fdacb7.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fcd2ab.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fd2501.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fcfb2e.jpg', 'https://choxe.net/uploads/auto/202203/341623/gallery/936x624-6232de6fde86d.jpg']"
Xe Mới Hyundai Accent 2022 2022,504 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2022,FWD: Cầu trước,Màu khác,Trong nước,"['https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1dec174.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1deea3a.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1de9e0e.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1de747b.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1de8e09.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1deb123.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1ded6d8.jpg', 'https://choxe.net/uploads/auto/202203/341606/gallery/936x624-62305b1defa64.jpg']"
Xe Mới Volkswagen Tiguan Luxury S 2021,1.929 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2021,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fa6b83.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fa2b62.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fa9c6f.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fad44c.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fb052b.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fb3d9a.jpg', 'https://choxe.net/uploads/auto/202203/341603/gallery/936x624-6230140fb7569.jpg']"
Xe Mới Nissan Sunny Nissan Almera - Tiết Kiệm Xăng Tối Đa 2021,548 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341597/gallery/936x624-622ff3bea3f03.jpg', 'https://choxe.net/uploads/auto/202203/341597/gallery/936x624-622ff3beb07bd.jpg', 'https://choxe.net/uploads/auto/202203/341597/gallery/936x624-622ff3beac79a.jpg', 'https://choxe.net/uploads/auto/202203/341597/gallery/936x624-622ff3beb78f7.jpg', 'https://choxe.net/uploads/auto/202203/341597/gallery/936x624-622ff3beb4348.jpg']"
Xe Cũ Toyota Camry 2.5G 2014,660 triệu,Cũ,80 km,Số tự động,Xăng,Cá nhân,Sedan,2014,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee6084f90.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee6081185.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee607c9b4.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee606910d.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee6070c57.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee606d2c1.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee606d2c1.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee6074e05.jpg', 'https://choxe.net/uploads/auto/202203/341596/gallery/936x624-622fee6078896.jpg']"
Xe Cũ Toyota Wigo 2020 2020,340 triệu,Cũ,"3,600 km",Số sàn,Xăng,Cá nhân,Hatchback,2020,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202203/341595/gallery/936x624-622feccb4b830.jpg', 'https://choxe.net/uploads/auto/202203/341595/gallery/936x624-622feccb33489.jpg', 'https://choxe.net/uploads/auto/202203/341595/gallery/936x624-622feccb36ac1.jpg', 'https://choxe.net/uploads/auto/202203/341595/gallery/936x624-622feccb39a76.jpg', 'https://choxe.net/uploads/auto/202203/341595/gallery/936x624-622feccb3c9c2.jpg']"
Xe Cũ Volvo XC60 2020 2020,2.189 tỷ ,Cũ,16 km,Số tự động,Xăng,Cá nhân,SUV,2020,4WD: 4 bánh,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d86b9.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d4140.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d74d9.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d985b.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d53d6.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d2ed6.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5dbef2.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5daa84.jpg', 'https://choxe.net/uploads/auto/202203/341593/gallery/936x624-622f3ad5d64a3.jpg']"
Xe Cũ Honda CR-V Turbo 1.5 - E - Nhập Khẩu Thái Lan 2018,810 triệu,Cũ,"50,000 km",Số tự động,Xăng,Cá nhân,SUV,2018,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac1bfda.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac1e3ca.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac225af.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac178aa.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac19be6.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac12008.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac1436f.jpg', 'https://choxe.net/uploads/auto/202203/341590/gallery/936x624-622f02ac15f21.jpg']"
Xe Cũ Toyota Camry 2.0E 2016,705 triệu,Cũ,"101,364 km",Số tự động,Xăng,Cá nhân,Sedan,2016,FWD: Cầu trước,Cát cháy,Trong nước,"['https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce29b2ae.jpg', 'https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce2a0402.jpg', 'https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce2921be.jpg', 'https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce296e6d.jpg', 'https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce2a951f.jpg', 'https://choxe.net/uploads/auto/202203/341589/gallery/936x624-622efce2a4cf7.jpg']"
Xe Mới Hino 300 Series 2021 2021,700 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Sedan,2021,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341586/gallery/936x624-622eda1632c71.jpg', 'https://choxe.net/uploads/auto/202203/341586/gallery/936x624-622eda1630270.jpg', 'https://choxe.net/uploads/auto/202203/341586/gallery/936x624-622eda36b71b6.jpg', 'https://choxe.net/uploads/auto/202203/341586/gallery/936x624-622eda36b9359.jpg']"
Xe Cũ Chevrolet Spark 2011 2011,88 triệu,Cũ,"170,000 km",Số sàn,Xăng,Cá nhân,Hatchback,2011,FWD: Cầu trước,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b4b90e.jpg', 'https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b480c4.jpg', 'https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b450c3.jpg', 'https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b468a0.jpg', 'https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b43481.jpg', 'https://choxe.net/uploads/auto/202203/341585/gallery/936x624-622ebb3b49c26.jpg']"
